ID,Type,Name,Value,Priority
101,L,Device_101,276.02,1
102,L,Device_102,148.0,3
103,L,Device_103,167.86,1
104,L,Device_104,262.66,1
105,L,Device_105,200.9,3
106,L,Device_106,267.23,3
107,L,Device_107,207.75,3
108,L,Device_108,197.86,1
109,L,Device_109,191.74,3
110,L,Device_110,197.6,1
111,L,Device_111,197.59,1
112,L,Device_112,208.52,1
113,L,Device_113,199.02,3
114,L,Device_114,162.44,1
115,L,Device_115,277.49,1
116,L,Device_116,203.44,1
117,L,Device_117,168.78,3
118,L,Device_118,105.06,2
119,L,Device_119,195.03,1
120,L,Device_120,213.37,1
121,L,Device_121,283.57,1
122,L,Device_122,162.3,1
123,L,Device_123,179.37,2
124,L,Device_124,169.48,3
125,L,Device_125,292.23,3
126,L,Device_126,154.37,3
127,L,Device_127,167.95,1
128,L,Device_128,285.48,1
129,L,Device_129,141.79,1
130,L,Device_130,164.22,1
131,L,Device_131,265.11,1
132,L,Device_132,160.76,2
133,L,Device_133,247.5,1
134,L,Device_134,141.94,1
135,L,Device_135,224.72,3
136,L,Device_136,110.28,3
137,L,Device_137,214.44,1
138,L,Device_138,222.49,2
139,L,Device_139,180.25,3
140,L,Device_140,230.03,3
141,L,Device_141,125.52,2
142,L,Device_142,234.95,3
143,L,Device_143,159.83,3
144,L,Device_144,217.67,1
145,L,Device_145,86.65,2
146,L,Device_146,262.39,2
147,L,Device_147,168.78,1
148,L,Device_148,225.05,3
149,L,Device_149,244.56,1
150,L,Device_150,176.1,1
151,L,Device_151,189.77,3
152,L,Device_152,108.23,3
153,L,Device_153,185.99,2
154,L,Device_154,216.1,3
155,L,Device_155,219.85,2
156,L,Device_156,100.96,3
157,L,Device_157,206.9,2
158,L,Device_158,242.64,3
159,L,Device_159,220.13,1
160,L,Device_160,167.53,1
161,L,Device_161,266.72,1
162,L,Device_162,278.97,3
163,L,Device_163,144.16,3
164,L,Device_164,191.45,1
165,L,Device_165,210.07,3
166,L,Device_166,300.21,1
167,L,Device_167,135.78,2
168,L,Device_168,252.92,1
169,L,Device_169,364.62,1
170,L,Device_170,216.8,1
171,L,Device_171,110.5,3
172,L,Device_172,219.97,3
173,L,Device_173,276.95,1
174,L,Device_174,204.32,3
175,L,Device_175,234.66,3
176,L,Device_176,197.78,1
177,L,Device_177,233.05,1
178,L,Device_178,186.81,1
179,L,Device_179,180.42,1
180,L,Device_180,145.76,1
181,S,Device_181,1717.14,0
182,L,Device_182,203.23,2
183,L,Device_183,144.16,1
184,L,Device_184,131.77,3
185,L,Device_185,164.07,1
186,L,Device_186,258.76,3
187,L,Device_187,256.46,3
188,L,Device_188,259.78,1
189,L,Device_189,185.76,1
190,L,Device_190,171.81,1
191,L,Device_191,246.91,1
192,L,Device_192,176.28,1
193,L,Device_193,130.84,2
194,L,Device_194,254.2,2
195,L,Device_195,231.74,3
196,L,Device_196,151.86,1
197,L,Device_197,239.92,1
198,L,Device_198,222.76,3
199,L,Device_199,154.45,1
200,L,Device_200,245.45,1
201,L,Device_201,207.2,1
202,L,Device_202,210.41,3
203,L,Device_203,122.1,1
204,L,Device_204,179.55,3
205,L,Device_205,186.41,1
206,L,Device_206,208.62,1
207,L,Device_207,203.94,3
208,L,Device_208,223.64,1
209,L,Device_209,176.84,1
210,L,Device_210,217.89,1
211,L,Device_211,128.41,3
212,L,Device_212,295.58,3
213,L,Device_213,174.9,3
214,L,Device_214,229.18,1
215,L,Device_215,192.26,1
216,L,Device_216,155.85,1
217,L,Device_217,220.19,2
218,L,Device_218,216.3,1
219,L,Device_219,131.33,1
220,L,Device_220,140.55,1
221,L,Device_221,202.65,2
222,L,Device_222,100,
223,L,,100,3
224,L,Device_224,208.92,3
225,L,Device_225,195.27,1
226,L,Device_226,166.66,3
227,L,Device_227,198.08,1
228,S,Device_228,1505.15,0
229,L,Device_229,115.55,1
230,L,Device_230,164.34,3
231,L,Device_231,232.89,2
232,L,Device_232,230.69,1
233,L,Device_233,242.21,3
234,L,Device_234,231.9,3
235,L,Device_235,183.23,1
236,L,Device_236,262.01,3
237,L,Device_237,156.89,1
238,L,Device_238,182.04,1
239,L,Device_239,234.32,1
240,L,Device_240,206.06,2
241,L,Device_241,194.35,1
242,L,Device_242,184.22,3
243,L,Device_243,201.53,3
244,L,Device_244,201.28,1
245,L,Device_245,224.53,1
246,L,Device_246,113.51,1
247,L,Device_247,222.34,1
248,L,Device_248,278.58,3
249,L,Device_249,267.64,1
250,S,Device_250,1660.07,0
251,L,Device_251,201.06,1
252,L,Device_252,170.21,3
253,L,Device_253,258.86,1
254,L,Device_254,152.34,2
255,L,Device_255,197.92,1
256,L,Device_256,222.94,1
257,L,Device_257,188.18,2
258,L,Device_258,233.43,1
259,L,Device_259,146.76,1
260,L,Device_260,270.32,1
261,L,Device_261,146.87,3
262,L,Device_262,125.17,3
263,L,Device_263,172.58,3
264,L,Device_264,252.12,2
265,L,Device_265,185.34,1
266,L,Device_266,144.69,3
267,L,Device_267,300.27,3
268,L,Device_268,162.81,1
269,S,Device_269,1248.64,0
270,L,Device_270,198.08,1
271,L,Device_271,160.44,2
272,L,Device_272,223.09,1
273,L,Device_273,230.46,1
274,L,Device_274,210.99,1
275,L,Device_275,134.97,1
276,L,Device_276,213.91,3
277,L,Device_277,201.33,1
278,L,Device_278,59.72,2
279,L,Device_279,181.97,2
280,L,Device_280,214.63,1
281,L,Device_281,170.12,2
282,L,Device_282,196.21,2
283,L,Device_283,227.11,3
284,L,Device_284,231.36,2
285,L,Device_285,129.41,1
286,L,Device_286,134.48,1
287,L,Device_287,169.34,1
288,L,Device_288,162.68,3
289,L,Device_289,221.54,1
290,L,Device_290,208.19,2
291,L,Device_291,161.53,3
292,L,Device_292,125.38,3
293,L,Device_293,160.15,2
294,L,Device_294,174.54,3
295,L,Device_295,201.3,2
296,L,Device_296,203.11,3
297,L,Device_297,200.88,1
298,L,Device_298,204.33,1
299,L,Device_299,175.6,1
300,L,Device_300,165.94,1
301,L,Device_301,178.39,2
302,L,Device_302,203.15,2
303,L,Device_303,147.21,1
304,L,Device_304,133.11,1
305,L,Device_305,161.99,2
306,L,Device_306,234.28,2
307,L,Device_307,131.89,1
308,L,Device_308,224.88,3
309,L,Device_309,207.55,1
310,L,Device_310,214.56,1
311,L,Device_311,251.24,1
312,L,Device_312,213.92,1
313,L,Device_313,153.74,2
314,L,Device_314,160.8,1
315,L,Device_315,193.97,3
316,L,Device_316,165.41,2
317,L,Device_317,202.59,3
318,L,Device_318,158.02,1
319,L,Device_319,132.97,1
320,L,Device_320,159.74,3
321,L,Device_321,210.5,1
322,L,Device_322,72.08,3
323,L,Device_323,145.69,3
324,L,Device_324,100,
325,L,Device_325,264.87,3
326,L,Device_326,188.98,2
327,L,Device_327,203.02,1
328,L,Device_328,91.24,1
329,L,Device_329,167.62,1
330,L,Device_330,239.35,1
331,S,Device_331,1424.06,0
332,S,Device_332,1492.31,0
333,L,Device_333,210.2,1
334,L,Device_334,147.31,1
335,L,Device_335,222.23,1
336,S,Device_336,1336.8,0
337,L,Device_337,214.19,2
338,L,Device_338,290.46,1
339,L,Device_339,225.05,3
340,L,Device_340,304.58,3
341,L,Device_341,121.65,3
342,L,Device_342,198.37,1
343,L,Device_343,236.12,2
344,L,Device_344,149.0,1
345,L,Device_345,193.5,1
346,L,Device_346,133.49,1
347,L,Device_347,174.09,1
348,S,Device_348,1591.91,0
349,L,Device_349,,3
350,L,Device_350,206.1,1
351,L,Device_351,245.93,2
352,L,Device_352,183.71,3
353,L,Device_353,169.46,3
354,L,Device_354,230.24,1
355,L,Device_355,149.14,3
356,L,Device_356,163.06,3
357,L,Device_357,258.63,3
358,L,Device_358,173.49,1
359,L,Device_359,252.7,1
360,L,Device_360,206.21,1
361,L,Device_361,212.56,3
362,L,Device_362,164.55,1
363,L,Device_363,169.08,3
364,L,Device_364,227.25,1
365,L,Device_365,233.85,3
366,L,Device_366,206.83,1
367,L,Device_367,158.68,3
368,L,Device_368,245.57,3
369,L,Device_369,210.33,2
370,S,Device_370,1693.14,0
371,L,Device_371,116.42,2
372,L,Device_372,212.61,3
373,L,Device_373,229.36,1
374,L,Device_374,280.2,1
375,L,Device_375,185.37,3
376,L,Device_376,168.63,3
377,L,Device_377,196.33,2
378,L,Device_378,256.49,3
379,L,Device_379,201.92,1
380,L,Device_380,136.52,3
381,L,Device_381,194.05,1
382,L,Device_382,294.91,3
383,L,Device_383,189.65,3
384,S,Device_384,1253.87,0
385,L,Device_385,173.75,1
386,L,Device_386,207.33,3
387,L,Device_387,295.96,1
388,L,Device_388,164.65,3
389,L,Device_389,267.4,3
390,L,Device_390,171.99,1
391,L,Device_391,246.65,1
392,L,Device_392,194.76,3
393,L,Device_393,234.19,1
394,L,Device_394,146.54,1
395,L,Device_395,205.29,1
396,L,Device_396,261.51,1
397,S,Device_397,1283.23,0
398,L,Device_398,231.45,1
399,L,Device_399,238.69,1
400,L,Device_400,262.62,1
401,L,Device_401,154.23,1
402,L,Device_402,210.09,3
403,L,Device_403,201.48,1
404,L,Device_404,265.45,2
405,L,Device_405,159.89,1
406,L,Device_406,156.29,3
407,L,Device_407,244.64,3
408,L,Device_408,165.46,3
409,L,Device_409,179.41,3
410,L,Device_410,191.02,1
411,L,Device_411,102.32,2
412,L,Device_412,214.37,3
413,L,Device_413,218.78,1
414,S,Device_414,1336.07,0
415,L,Device_415,189.24,3
416,L,Device_416,276.01,3
417,L,Device_417,221.41,3
418,L,Device_418,210.78,1
419,L,Device_419,133.33,3
420,L,Device_420,128.19,1
421,L,Device_421,100,
422,L,Device_422,175.22,1
423,L,Device_423,233.42,1
424,S,Device_424,1763.6,0
425,L,Device_425,142.28,1
426,L,Device_426,128.24,2
427,L,Device_427,151.17,1
428,L,Device_428,262.41,3
429,L,Device_429,206.74,2
430,S,Device_430,1555.35,0
431,L,Device_431,259.6,3
432,L,Device_432,203.8,3
433,L,Device_433,285.78,1
434,L,Device_434,186.51,1
435,L,Device_435,128.11,1
436,L,Device_436,152.01,3
437,L,Device_437,178.58,2
438,L,Device_438,243.84,1
439,L,Device_439,194.05,3
440,L,Device_440,132.81,2
441,S,Device_441,1600.36,0
442,L,Device_442,176.03,1
443,L,Device_443,231.15,3
444,L,Device_444,216.24,3
445,L,Device_445,216.84,1
446,L,Device_446,131.93,1
447,L,Device_447,186.04,3
448,S,Device_448,1693.65,0
449,L,Device_449,163.39,1
450,L,Device_450,249.21,3
451,L,Device_451,279.35,1
452,L,Device_452,275.0,1
453,L,Device_453,234.1,1
454,L,Device_454,327.03,3
455,L,Device_455,159.39,1
456,L,Device_456,175.38,2
457,L,Device_457,236.77,3
458,L,Device_458,249.36,2
459,L,Device_459,206.12,3
460,L,Device_460,176.73,2
461,S,Device_461,1540.88,0
462,L,Device_462,230.41,1
463,L,Device_463,195.32,2
464,L,Device_464,245.28,3
465,L,Device_465,287.78,1
466,L,Device_466,130.9,2
467,L,Device_467,198.83,3
468,L,Device_468,281.9,3
469,L,Device_469,156.0,3
470,L,Device_470,107.11,3
471,L,Device_471,173.44,3
472,L,Device_472,152.21,3
473,L,Device_473,157.11,1
474,L,Device_474,231.25,1
475,L,Device_475,100,
476,L,Device_476,258.88,3
477,L,Device_477,236.04,1
478,L,Device_478,157.51,2
479,L,Device_479,256.68,1
480,L,Device_480,204.93,1
481,L,Device_481,294.29,1
482,L,Device_482,239.74,3
483,L,Device_483,72.68,1
484,L,Device_484,163.88,2
485,L,Device_485,269.39,2
486,L,Device_486,242.72,1
487,L,Device_487,313.45,3
488,L,Device_488,241.31,3
489,L,Device_489,166.76,1
490,L,Device_490,234.25,1
491,L,Device_491,228.81,1
492,L,Device_492,252.11,3
493,L,Device_493,312.24,3
494,L,Device_494,189.84,1
495,L,Device_495,177.59,1
496,L,Device_496,221.45,1
497,L,Device_497,193.48,2
498,L,Device_498,223.13,1
499,L,Device_499,143.62,3
500,L,Device_500,222.2,1
501,L,Device_501,291.17,1
502,L,Device_502,233.14,3
503,L,Device_503,197.39,1
504,L,Device_504,184.49,3
505,L,Device_505,197.04,2
506,L,Device_506,104.6,2
507,L,Device_507,165.36,3
508,L,Device_508,198.61,1
509,L,Device_509,179.21,3
510,L,Device_510,204.14,2
511,L,Device_511,216.07,1
512,L,Device_512,287.52,1
513,L,Device_513,247.85,2
514,L,Device_514,227.38,1
515,L,Device_515,163.13,3
516,L,Device_516,237.81,2
517,L,Device_517,276.56,1
518,L,Device_518,226.74,1
519,L,Device_519,195.48,1
520,L,Device_520,214.77,1
521,L,Device_521,100,
522,L,Device_522,214.79,1
523,L,Device_523,232.07,1
524,,Device_524,100,3
525,L,Device_525,177.98,3
526,L,Device_526,236.1,3
527,L,Device_527,215.58,2
528,L,Device_528,115.26,1
529,L,Device_529,247.71,1
530,L,Device_530,174.39,3
531,L,Device_531,179.03,2
532,,Device_532,100,3
533,L,Device_533,291.94,2
534,L,Device_534,211.06,3
535,L,Device_535,72.1,1
536,L,Device_536,232.76,1
537,L,Device_537,176.63,1
538,L,Device_538,119.92,1
539,L,,100,3
540,L,Device_540,205.8,1
541,L,Device_541,164.26,1
542,L,Device_542,189.09,3
543,L,Device_543,193.2,3
544,L,Device_544,101.58,1
545,L,Device_545,257.5,2
546,L,Device_546,196.6,3
547,L,Device_547,224.2,1
548,L,Device_548,150.56,1
549,L,Device_549,243.23,3
550,L,Device_550,,3
551,L,Device_551,146.24,2
552,L,Device_552,290.08,1
553,L,Device_553,244.5,2
554,L,Device_554,189.76,1
555,L,Device_555,261.35,1
556,L,Device_556,179.03,3
557,L,Device_557,232.61,2
558,L,Device_558,261.28,1
559,L,Device_559,214.88,1
560,L,Device_560,228.54,3
561,L,Device_561,166.56,3
562,L,Device_562,135.54,3
563,L,Device_563,195.13,3
564,L,Device_564,268.75,3
565,L,Device_565,147.04,1
566,L,Device_566,136.15,1
567,L,Device_567,183.37,3
568,L,Device_568,265.2,2
569,L,Device_569,260.12,3
570,L,Device_570,249.54,3
571,L,Device_571,212.6,1
572,L,Device_572,209.07,3
573,L,Device_573,154.51,1
574,L,Device_574,254.09,2
575,L,Device_575,160.76,1
576,L,Device_576,139.64,1
577,S,Device_577,1221.03,0
578,L,Device_578,231.48,3
579,S,Device_579,1388.15,0
580,L,Device_580,185.5,2
581,L,Device_581,178.66,3
582,L,Device_582,179.97,3
583,L,Device_583,138.26,3
584,L,Device_584,287.34,2
585,L,Device_585,207.45,1
586,L,Device_586,285.96,3
587,L,Device_587,226.24,3
588,L,,100,3
589,L,Device_589,221.29,1
590,L,Device_590,174.18,1
591,L,Device_591,237.71,2
592,L,Device_592,62.7,1
593,L,Device_593,132.57,3
594,S,Device_594,1493.6,0
595,L,Device_595,183.27,1
596,L,Device_596,186.65,3
597,L,Device_597,242.02,1
598,L,,100,3
599,L,Device_599,274.11,2
600,L,Device_600,203.79,3
601,L,Device_601,242.0,1
602,L,Device_602,161.99,1
603,L,Device_603,206.72,3
604,L,Device_604,136.05,1
605,L,Device_605,261.37,3
606,L,Device_606,222.75,1
607,L,Device_607,58.42,2
608,L,Device_608,240.87,2
609,L,Device_609,85.83,2
610,L,Device_610,169.53,1
611,L,Device_611,120.69,1
612,L,Device_612,125.91,2
613,L,Device_613,216.32,1
614,L,Device_614,207.99,1
615,L,Device_615,192.83,1
616,L,Device_616,210.92,3
617,L,Device_617,71.37,3
618,L,Device_618,191.46,3
619,L,Device_619,142.0,1
620,L,Device_620,153.66,3
621,L,Device_621,128.02,3
622,L,Device_622,87.63,2
623,L,Device_623,238.44,1
624,L,Device_624,217.89,1
625,L,Device_625,199.97,2
626,L,Device_626,214.52,1
627,L,Device_627,201.59,1
628,L,Device_628,199.78,1
629,L,Device_629,239.34,3
630,L,Device_630,280.85,1
631,L,Device_631,192.42,1
632,L,Device_632,,3
633,L,Device_633,204.8,2
634,L,Device_634,160.47,1
635,L,Device_635,246.73,3
636,L,Device_636,116.23,2
637,L,Device_637,205.86,1
638,L,Device_638,215.69,2
639,L,Device_639,291.49,1
640,L,Device_640,180.47,1
641,L,Device_641,219.21,1
642,L,Device_642,215.71,1
643,L,Device_643,269.73,3
644,L,Device_644,191.37,3
645,L,Device_645,,3
646,L,Device_646,194.74,1
647,L,Device_647,179.1,1
648,L,Device_648,199.46,2
649,L,Device_649,155.42,1
650,L,Device_650,172.03,3
651,L,Device_651,249.42,2
652,L,Device_652,231.12,1
653,L,Device_653,168.4,1
654,L,Device_654,214.48,3
655,L,Device_655,147.52,1
656,L,Device_656,264.49,1
657,L,Device_657,169.66,2
658,L,Device_658,187.85,3
659,L,Device_659,267.73,1
660,S,Device_660,1343.32,0
661,L,Device_661,221.9,2
662,L,Device_662,241.92,2
663,L,Device_663,93.99,1
664,L,Device_664,220.66,1
665,L,Device_665,144.33,1
666,L,Device_666,188.17,3
667,L,Device_667,204.54,1
668,L,Device_668,204.97,1
669,L,Device_669,153.98,3
670,L,Device_670,196.51,1
671,L,Device_671,109.67,1
672,L,Device_672,230.51,3
673,L,Device_673,221.18,1
674,L,Device_674,267.53,3
675,L,Device_675,354.15,1
676,L,Device_676,262.64,1
677,L,Device_677,196.82,3
678,L,Device_678,247.63,1
679,L,Device_679,250.05,3
680,S,Device_680,1188.97,0
681,L,Device_681,288.99,3
682,L,Device_682,243.07,3
683,L,Device_683,261.83,1
684,L,Device_684,284.02,1
685,L,Device_685,291.41,3
686,L,Device_686,209.98,3
687,L,Device_687,187.87,3
688,L,Device_688,274.68,1
689,L,Device_689,239.3,1
690,L,Device_690,264.44,3
691,L,Device_691,239.0,3
692,L,Device_692,105.29,3
693,L,Device_693,186.67,1
694,L,Device_694,224.18,3
695,L,Device_695,160.69,3
696,L,Device_696,199.86,3
697,L,Device_697,219.55,3
698,L,Device_698,180.94,1
699,L,Device_699,155.24,3
700,L,Device_700,150.08,3
701,L,Device_701,142.71,1
702,L,Device_702,174.99,1
703,L,Device_703,190.52,1
704,L,Device_704,253.6,3
705,L,Device_705,270.21,3
706,L,Device_706,192.2,3
707,L,Device_707,156.9,2
708,L,Device_708,151.4,1
709,L,Device_709,235.49,1
710,L,Device_710,283.25,1
711,L,Device_711,253.45,1
712,L,Device_712,152.49,1
713,L,Device_713,173.31,1
714,L,Device_714,145.86,1
715,L,Device_715,180.82,3
716,L,Device_716,297.84,1
717,L,Device_717,268.73,1
718,L,Device_718,175.34,3
719,L,Device_719,164.77,3
720,L,Device_720,132.09,3
721,L,Device_721,239.51,2
722,L,Device_722,237.21,1
723,L,Device_723,229.88,1
724,L,Device_724,201.28,1
725,L,Device_725,94.73,2
726,L,Device_726,183.45,2
727,L,Device_727,219.8,3
728,L,Device_728,238.25,1
729,L,Device_729,284.55,3
730,L,Device_730,244.35,3
731,L,Device_731,225.5,2
732,L,Device_732,253.68,1
733,L,Device_733,150.7,1
734,L,Device_734,226.77,3
735,L,Device_735,190.94,3
736,L,Device_736,67.84,2
737,L,Device_737,239.32,1
738,L,Device_738,263.76,1
739,L,Device_739,166.4,1
740,L,Device_740,149.81,1
741,S,Device_741,998.81,0
742,L,Device_742,129.46,1
743,L,Device_743,232.86,3
744,L,Device_744,259.59,1
745,L,Device_745,182.66,3
746,L,Device_746,190.89,3
747,L,Device_747,208.79,1
748,L,Device_748,100,
749,L,Device_749,224.9,3
750,L,Device_750,168.9,3
751,L,Device_751,258.85,1
752,L,Device_752,201.1,2
753,L,Device_753,243.54,1
754,L,Device_754,313.77,3
755,L,Device_755,187.29,3
756,L,Device_756,158.31,1
757,L,Device_757,221.31,1
758,L,Device_758,228.69,1
759,L,Device_759,161.32,3
760,L,Device_760,327.6,3
761,L,Device_761,226.35,1
762,L,Device_762,201.99,3
763,L,Device_763,183.12,3
764,L,Device_764,133.3,3
765,L,Device_765,173.35,1
766,L,Device_766,191.36,2
767,L,Device_767,194.67,1
768,L,Device_768,165.94,1
769,L,Device_769,301.43,3
770,L,Device_770,204.51,1
771,L,Device_771,255.0,1
772,L,Device_772,203.75,1
773,L,Device_773,282.59,1
774,L,Device_774,279.9,1
775,L,Device_775,127.24,2
776,L,Device_776,202.29,3
777,L,Device_777,266.57,1
778,L,Device_778,164.74,1
779,S,Device_779,1569.19,0
780,L,Device_780,257.14,2
781,L,Device_781,247.43,3
782,L,Device_782,183.71,3
783,L,Device_783,249.59,1
784,S,Device_784,1707.68,0
785,L,Device_785,177.21,1
786,L,Device_786,207.85,2
787,L,Device_787,193.78,1
788,L,Device_788,253.45,2
789,L,Device_789,127.79,3
790,L,Device_790,121.61,1
791,L,Device_791,174.21,1
792,L,Device_792,187.2,3
793,L,Device_793,178.93,1
794,L,Device_794,212.22,1
795,L,Device_795,287.77,1
796,L,Device_796,283.75,2
797,L,Device_797,165.83,1
798,L,Device_798,232.62,2
799,L,Device_799,142.75,1
800,L,Device_800,268.42,1
801,L,Device_801,154.88,3
802,L,Device_802,183.27,2
803,L,Device_803,263.31,1
804,L,Device_804,79.27,2
805,L,Device_805,244.66,1
806,L,Device_806,191.16,3
807,L,Device_807,167.65,1
808,L,Device_808,196.22,1
809,L,Device_809,167.44,3
810,L,Device_810,280.89,3
811,L,Device_811,194.47,1
812,L,Device_812,237.69,1
813,L,Device_813,188.6,1
814,L,Device_814,253.43,1
815,L,Device_815,170.69,1
816,L,Device_816,180.89,1
817,L,Device_817,236.94,1
818,L,Device_818,216.79,1
819,L,Device_819,289.86,1
820,L,Device_820,142.49,1
821,L,Device_821,115.34,1
822,L,Device_822,214.1,1
823,L,Device_823,171.87,1
824,L,Device_824,180.02,2
825,L,Device_825,157.76,1
826,L,Device_826,294.84,1
827,L,Device_827,225.4,3
828,L,Device_828,273.4,3
829,L,Device_829,219.75,2
830,L,Device_830,110.87,1
831,L,Device_831,146.43,1
832,L,Device_832,265.14,1
833,L,Device_833,171.37,3
834,L,Device_834,189.44,1
835,L,Device_835,227.89,3
836,L,Device_836,256.25,1
837,L,Device_837,155.05,1
838,L,Device_838,263.34,2
839,L,Device_839,260.55,1
840,L,Device_840,245.02,1
841,L,Device_841,102.68,1
842,L,Device_842,174.74,1
843,L,Device_843,256.51,1
844,L,Device_844,146.63,1
845,L,Device_845,276.7,1
846,L,Device_846,147.53,3
847,L,Device_847,237.11,3
848,L,Device_848,180.71,1
849,L,Device_849,130.97,1
850,L,Device_850,246.19,1
851,L,Device_851,109.72,1
852,L,Device_852,181.94,3
853,L,Device_853,216.98,1
854,L,Device_854,156.47,1
855,L,Device_855,239.08,3
856,L,Device_856,232.66,1
857,L,Device_857,236.67,3
858,L,Device_858,155.54,2
859,L,Device_859,237.15,1
860,S,Device_860,974.28,0
861,L,Device_861,233.24,1
862,L,Device_862,262.78,3
863,L,Device_863,285.25,1
864,S,Device_864,1435.51,0
865,L,Device_865,127.64,3
866,L,Device_866,216.25,1
867,L,Device_867,124.94,1
868,L,Device_868,141.8,2
869,L,Device_869,205.53,1
870,S,Device_870,1270.13,0
871,L,Device_871,151.34,1
872,L,Device_872,182.21,1
873,L,Device_873,186.4,2
874,L,Device_874,212.56,1
875,L,Device_875,163.8,1
876,L,Device_876,185.32,1
877,L,Device_877,130.7,1
878,L,Device_878,133.81,1
879,L,Device_879,185.53,3
880,L,Device_880,135.99,1
881,L,Device_881,224.5,2
882,L,Device_882,312.25,3
883,L,Device_883,174.5,1
884,L,Device_884,170.0,3
885,L,Device_885,221.4,3
886,L,Device_886,126.53,3
887,L,Device_887,169.09,1
888,L,Device_888,172.22,1
889,L,Device_889,172.97,2
890,L,Device_890,217.25,3
891,L,Device_891,203.58,1
892,L,Device_892,182.5,3
893,L,Device_893,252.4,3
894,L,Device_894,142.21,3
895,L,Device_895,204.78,3
896,L,Device_896,292.37,1
897,S,Device_897,1357.51,0
898,L,Device_898,299.18,3
899,L,Device_899,205.37,3
900,L,Device_900,155.48,2
901,L,Device_901,170.29,1
902,L,Device_902,237.44,1
903,L,Device_903,196.94,2
904,L,Device_904,209.76,2
905,L,Device_905,220.39,3
906,L,Device_906,224.52,1
907,L,Device_907,188.2,1
908,L,Device_908,203.0,3
909,L,Device_909,222.63,3
910,L,Device_910,191.48,1
911,L,Device_911,220.7,3
912,L,Device_912,252.66,3
913,L,Device_913,263.6,2
914,L,Device_914,133.01,1
915,L,Device_915,236.57,3
916,L,Device_916,217.58,3
917,L,Device_917,95.76,3
918,L,Device_918,185.82,3
919,L,Device_919,193.12,1
920,L,Device_920,222.71,3
921,L,Device_921,163.59,2
922,L,Device_922,175.28,1
923,L,Device_923,270.09,1
924,L,Device_924,183.87,1
925,L,Device_925,215.1,1
926,L,Device_926,183.71,2
927,S,Device_927,1291.66,0
928,L,Device_928,252.98,1
929,L,Device_929,295.87,1
930,L,Device_930,272.44,3
931,L,Device_931,178.81,1
932,S,Device_932,1451.05,0
